SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,0,0,227.702239,1,5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-5,0,-5,1,3,-8,-8,-8,-8,-8,-8,-8
-5,-5,73.237652,77.602115,0,1,8,-0.8429,0.3214,27.7393,41.9997,2,0.8082,0.153,0.0631,0.0441,0.0478,-8,-5,-8,-5,-8,-8,0.03,-1.8,0.1,-1.21,0.41,0.25,0.22
-5,-5,145.587148,128.273496,81.384298,2,8,1.1893,0.2521,54.7524,63.0972,5,0.9999,0.9881,0.9743,0.5769,0.1674,0,-5,1,-5,5,7,0.6,-0.3,0.55,0.96,0.1,0.25,0.54
-5,-5,791.339855,728.730654,494.946055,1,3,0.6544,0.263,48.3757,57.5439,4,0.9994,0.9464,0.8176,0.2202,0.0837,0,-5,-7,-5,2,1,0.6,1.31,0.1,0.19,1.27,0.25,0.5
-5,-5,661.245831,491.920249,396.541146,2,3,0.454,0.2442,45.9362,55.4635,4,0.9986,0.9096,0.6852,0.1501,0.0706,0,-5,0,-5,5,7,1.16,-0.3,0.1,0.19,0.1,0.25,0.09
-5,-5,55.393264,54.113238,0,2,6,1.2788,0.2299,55.8031,64.0261,5,1,0.9909,0.9823,0.6452,0.1933,0,-5,0,-5,2,4,0.03,-1.74,-0.56,-0.66,-0.89,-0.91,-0.54
-5,-5,0,248.750264,135.283992,2,6,-1.2179,0.2832,23.4336,38.1072,1,0.5219,0.0699,0.0409,0.0403,0.0469,0,-5,1,-5,4,5,0,-0.3,-0.61,0.19,1.69,0.25,0.93
-5,-5,0,0,394.267867,2,8,1.0541,0.2337,53.1551,61.6932,5,0.9999,0.9824,0.9556,0.4707,0.1363,-8,-5,-8,-5,-8,-8,1.16,1.31,1.62,0.56,-0.33,-0.89,-0.61
-5,-5,0,263.222345,210.026868,1,8,-1.9442,0.4014,17.9609,30.5673,1,0.067,0.0216,0.0292,0.0374,0.0463,0,-5,0,-5,2,3,0.6,-1.9,-1.14,-0.96,-7,-7,-7
-5,-5,39.727276,23.00561,21.865702,1,2,2.5699,0.303,68.127,77.4288,5,1,0.9998,0.9999,0.992,0.8974,1,-5,1,-5,5,8,1.19,-0.3,1.21,0.19,1.08,1.41,1.32
-5,-5,132.720914,133.146286,131.085167,1,5,0.356,0.2504,44.7267,54.4463,4,0.9979,0.8844,0.6083,0.1265,0.066,0,-5,-7,-5,2,2,-0.57,0.9,-0.17,-1.68,1.27,0.25,0.16
-5,-5,234.192756,0,318.461133,1,8,-0.5935,0.3058,31.2377,44.5891,2,0.9143,0.28,0.096,0.0486,0.0489,0,-5,0,-5,1,3,0.6,1.31,0.1,-0.18,0.1,-1.02,-0.17
-5,-5,295.612824,325.021257,193.861086,1,8,0.7819,0.233,49.9111,58.8679,5,0.9997,0.9621,0.879,0.2841,0.0957,0,-5,0,-5,2,7,0.6,-0.3,0.1,0.19,-0.89,0.25,0.49
-5,-5,845.157941,774.230108,632.044597,1,5,0.7455,0.241,49.473,58.4891,4,0.9996,0.9581,0.8633,0.2641,0.0919,0,-5,-7,-5,2,2,0,1.31,0.1,0.12,0.1,0.25,1.38
-5,-5,0,246.49852,188.923136,2,8,0.9406,0.2652,51.8068,60.5147,5,0.9998,0.9757,0.9314,0.3858,0.1164,0,-5,0,-5,4,4,-0.57,-7,-7,-7,-0.47,-0.05,0.5
-5,-5,0,0,0,1,3,-0.0885,0.2512,38.8702,49.8312,3,0.9873,0.6795,0.2759,0.0698,0.054,4,-5,-7,-5,2,3,-1.73,1.31,0.1,-9,0.66,0.25,-9
-5,-5,0,366.222665,332.401997,1,8,-1.2019,0.3332,23.5967,38.2736,1,0.5362,0.0721,0.0415,0.0404,0.0469,0,-5,-7,-5,2,2,-1.73,-0.3,-1.41,-9,-3.1,-9,-9
-5,-5,346.515901,416.334601,210.838889,1,5,-0.2951,0.2671,35.8115,47.6869,2,0.9714,0.5208,0.177,0.0583,0.0512,0,-5,0,-5,2,3,-0.57,1.31,0.55,0.49,0.28,-0.05,0.16
